Product Name,Description,Faceveneer,Thickness (mm),Core Material,Glue,Weight/Board,Chemical Dipping,Film Face Color,Film Face GSM,Wire Mesh,Grade,Length (ft),Breadth (ft),Rate/SqFt
Commercial Plywood,MR (Moisture Resistant),Gurjan,6,,,,False,,,,MR (Moisture Resistant),,,24
Commercial Plywood,MR (Moisture Resistant),Gurjan,6,,,,True,,,,MR (Moisture Resistant),,,25.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,8,,,,False,,,,MR (Moisture Resistant),,,24.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,8,,,,True,,,,MR (Moisture Resistant),,,26.0
Commercial Plywood,MR (Moisture Resistant),Gurjan,10,,,,False,,,,MR (Moisture Resistant),,,30
Commercial Plywood,MR (Moisture Resistant),Gurjan,10,,,,True,,,,MR (Moisture Resistant),,,31.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,12,,,,False,,,,MR (Moisture Resistant),,,31.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,12,,,,True,,,,MR (Moisture Resistant),,,33.0
Commercial Plywood,MR (Moisture Resistant),Gurjan,14,,,,False,,,,MR (Moisture Resistant),,,34.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,14,,,,True,,,,MR (Moisture Resistant),,,36.0
Commercial Plywood,MR (Moisture Resistant),Gurjan,16,,,,False,,,,MR (Moisture Resistant),,,37.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,16,,,,True,,,,MR (Moisture Resistant),,,39.0
Commercial Plywood,MR (Moisture Resistant),Gurjan,18,,,,False,,,,MR (Moisture Resistant),,,41
Commercial Plywood,MR (Moisture Resistant),Gurjan,18,,,,True,,,,MR (Moisture Resistant),,,42.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,20,,,,False,,,,MR (Moisture Resistant),,,42
Commercial Plywood,MR (Moisture Resistant),Gurjan,20,,,,True,,,,MR (Moisture Resistant),,,43.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,25,,,,False,,,,MR (Moisture Resistant),,,59.5
Commercial Plywood,MR (Moisture Resistant),Gurjan,25,,,,True,,,,MR (Moisture Resistant),,,61.0
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,6,,,,False,,,,MR (Moisture Resistant),,,26
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,6,,,,True,,,,MR (Moisture Resistant),,,27.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,8,,,,False,,,,MR (Moisture Resistant),,,29
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,8,,,,True,,,,MR (Moisture Resistant),,,30.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,12,,,,False,,,,MR (Moisture Resistant),,,33
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,12,,,,True,,,,MR (Moisture Resistant),,,34.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,16,,,,False,,,,MR (Moisture Resistant),,,41
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,16,,,,True,,,,MR (Moisture Resistant),,,42.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,18,,,,False,,,,MR (Moisture Resistant),,,42
Semi-Hardwood Plywood,MR (Moisture Resistant),Okoume,18,,,,True,,,,MR (Moisture Resistant),,,43.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,6,,,,False,,,,MR (Moisture Resistant),,,30.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,6,,,,True,,,,MR (Moisture Resistant),,,32.0
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,8,,,,False,,,,MR (Moisture Resistant),,,37
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,8,,,,True,,,,MR (Moisture Resistant),,,38.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,12,,,,False,,,,MR (Moisture Resistant),,,39
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,12,,,,True,,,,MR (Moisture Resistant),,,40.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,16,,,,False,,,,MR (Moisture Resistant),,,46
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,16,,,,True,,,,MR (Moisture Resistant),,,47.5
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,18,,,,False,,,,MR (Moisture Resistant),,,47
Semi-Hardwood Plywood,MR (Moisture Resistant),Gurjan,18,,,,True,,,,MR (Moisture Resistant),,,48.5
